"latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight","type","source","raw_row","easting_m","northing_m","month"
-1.48201,114.57959,304.21,0.39,0.44,2026-07-08,"1737","SNPP","SNPP","n","2.0NRT",291.24,0.52,"N",NA,"nrt",15861,230677.908596706,9836045.80725182,"2026-07"
-1.88573,114.34383,343.13,0.54,0.42,2026-07-09,"0616","SNPP","SNPP","n","2.0NRT",296.5,5.97,"D",NA,"nrt",16333,204487.424391272,9791343.89562583,"2026-07"
-1.20123,114.14778,329.9,0.53,0.42,2026-07-09,"0616","SNPP","SNPP","n","2.0NRT",297.53,1.59,"D",NA,"nrt",16379,182556.702502256,9867062.05192158,"2026-07"
-1.20102,114.14442,333.36,0.53,0.42,2026-07-09,"0616","SNPP","SNPP","n","2.0NRT",298.75,3.02,"D",NA,"nrt",16381,182182.40903302,9867084.90121514,"2026-07"
-0.95226,113.97373,332.5,0.52,0.42,2026-07-09,"0616","SNPP","SNPP","n","2.0NRT",296.68,3.85,"D",NA,"nrt",16396,163140.481515959,9894598.60770007,"2026-07"
-1.44107,114.47573,335.43,0.38,0.36,2026-07-10,"0557","SNPP","SNPP","n","2.0NRT",286.02,4.24,"D",NA,"nrt",17059,219108.813819684,9840562.44234793,"2026-07"
-1.27842,114.21355,339.16,0.39,0.36,2026-07-10,"0557","SNPP","SNPP","n","2.0NRT",282.72,4.13,"D",NA,"nrt",17067,189891.574684717,9858527.60275019,"2026-07"
-1.04145,113.99198,332.1,0.39,0.36,2026-07-10,"0557","SNPP","SNPP","n","2.0NRT",278.63,4.67,"D",NA,"nrt",17077,165182.832107103,9884728.49913828,"2026-07"
-1.66274,114.4838,336.84,0.63,0.54,2026-07-17,"0525","SNPP","SNPP","n","2.0NRT",293.02,7.61,"D",NA,"nrt",17349,220036.582821151,9816038.29053461,"2026-07"
-1.66439,114.48249,338.49,0.63,0.54,2026-07-17,"0525","SNPP","SNPP","n","2.0NRT",292.55,5.52,"D",NA,"nrt",17351,219890.965194098,9815855.55130965,"2026-07"
-1.27843,114.19103,309.15,0.43,0.38,2026-07-17,"1809","SNPP","SNPP","n","2.0NRT",290.65,1.18,"N",NA,"nrt",17699,187383.276469569,9858523.76129975,"2026-07"
-3.01435,114.48379,341.35,0.58,0.7,2026-07-18,"0648","SNPP","SNPP","n","2.0NRT",292.08,8.17,"D",NA,"nrt",18086,220303.609406125,9666497.55019329,"2026-07"
-0.77002,114.05962,340.61,0.6,0.7,2026-07-18,"0648","SNPP","SNPP","n","2.0NRT",287.71,4.04,"D",NA,"nrt",18201,172694.056327056,9914776.65884235,"2026-07"
-1.64088,114.49217,333.18,0.59,0.53,2026-07-19,"0629","SNPP","SNPP","n","2.0NRT",294.51,5.12,"D",NA,"nrt",18865,220965.411300486,9818458.0118678,"2026-07"
-1.22987,114.13744,336.58,0.56,0.52,2026-07-19,"0629","SNPP","SNPP","n","2.0NRT",294.92,4,"D",NA,"nrt",18910,181408.292336703,9863891.27384687,"2026-07"
-1.06303,114.05128,345.49,0.56,0.51,2026-07-19,"0629","SNPP","SNPP","n","2.0NRT",296.75,8.4,"D",NA,"nrt",18929,171791.59247678,9882346.318832,"2026-07"
-1.05826,114.05057,342.31,0.56,0.51,2026-07-19,"0629","SNPP","SNPP","n","2.0NRT",294.75,8.4,"D",NA,"nrt",18932,171711.991862878,9882874.17693461,"2026-07"
-1.06331,114.04836,340.44,0.56,0.51,2026-07-19,"0629","SNPP","SNPP","n","2.0NRT",296.16,4.99,"D",NA,"nrt",18934,171466.321039863,9882315.01792147,"2026-07"
-1.05854,114.04763,332.82,0.56,0.51,2026-07-19,"0629","SNPP","SNPP","n","2.0NRT",294.23,4.99,"D",NA,"nrt",18936,171384.491493081,9882842.8752021,"2026-07"
-1.05878,114.04877,303.44,0.55,0.51,2026-07-19,"1730","SNPP","SNPP","n","2.0NRT",290.78,0.8,"N",NA,"nrt",19200,171511.51827416,9882816.4334404,"2026-07"
-1.40273,114.4374,307.72,0.51,0.49,2026-07-19,"1730","SNPP","SNPP","n","2.0NRT",290.65,0.83,"N",NA,"nrt",19202,214836.045615434,9844799.68801351,"2026-07"
-1.40654,114.34335,303.98,0.51,0.5,2026-07-19,"1730","SNPP","SNPP","n","2.0NRT",290.38,0.49,"N",NA,"nrt",19203,204363.307386724,9844366.42480675,"2026-07"
