"r","observed","lower","upper","reference"
8,0.686532331833405,-0.464156412585637,-0.206118067616108,"Inhomogeneous reference"
8.1,0.643626868724057,-0.474361197502257,-0.204807203354089,"Inhomogeneous reference"
8.2,0.599643907024287,-0.474713217461913,-0.202706912076334,"Inhomogeneous reference"
8.3,0.555523432984534,-0.485252282662699,-0.203179201395219,"Inhomogeneous reference"
8.4,0.515204224763382,-0.489818186812696,-0.206269778787934,"Inhomogeneous reference"
8.5,0.469755543957763,-0.495366783868972,-0.208129224217236,"Inhomogeneous reference"
8.6,0.433817747819003,-0.5010462831053,-0.208889875209669,"Inhomogeneous reference"
8.7,0.38905415695424,-0.507749699045508,-0.213468621637579,"Inhomogeneous reference"
8.8,0.349775644291983,-0.50806726866638,-0.211219626351088,"Inhomogeneous reference"
8.9,0.305710193525668,-0.51779290963,-0.215814932451156,"Inhomogeneous reference"
9,0.262457065178195,-0.523608776360271,-0.223814900456237,"Inhomogeneous reference"
9.1,0.220686792884495,-0.519373387027558,-0.230046318420346,"Inhomogeneous reference"
9.2,0.176216332696841,-0.525443442561594,-0.241439876105877,"Inhomogeneous reference"
9.3,0.137712536995377,-0.531137255447712,-0.247080334580703,"Inhomogeneous reference"
9.4,0.104480822607558,-0.536464990582168,-0.25018673745917,"Inhomogeneous reference"
9.5,0.0569780952669987,-0.540736458673493,-0.252684829041089,"Inhomogeneous reference"
9.6,0.0203182089620775,-0.541026803932638,-0.259443477675068,"Inhomogeneous reference"
9.7,-0.026337751247743,-0.548490264338206,-0.266144721842497,"Inhomogeneous reference"
9.8,-0.060506167971333,-0.558467919946009,-0.267778253240008,"Inhomogeneous reference"
9.9,-0.105521658270074,-0.56570264473979,-0.276701532746337,"Inhomogeneous reference"
10,-0.139709144857834,-0.573621973630148,-0.281366292135685,"Inhomogeneous reference"
